Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
65;08-10-2020;11:32:51;11;-;Trovan Unique;0007A39150;-;00000000;00000000;-;""
66;08-10-2020;11:32:52;12;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
67;08-10-2020;11:32:52;12;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
68;08-10-2020;11:32:52;12;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
69;08-10-2020;11:32:52;12;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
70;08-10-2020;11:32:52;12;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
71;08-10-2020;11:32:53;12;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
72;08-10-2020;11:32:53;12;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
73;08-10-2020;11:32:53;12;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
74;08-10-2020;11:32:53;12;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
75;08-10-2020;11:32:53;12;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
76;08-10-2020;11:32:54;12;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
77;08-10-2020;11:32:54;12;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
78;08-10-2020;11:32:55;12;-;Trovan Unique;0007A39150;-;00000000;00000000;-;""
79;08-10-2020;11:32:55;12;-;Trovan Unique;0007A39150;-;00000000;00000000;-;""
80;08-10-2020;11:32:55;12;-;Trovan Unique;0007A39150;-;00000000;00000000;-;""
81;08-10-2020;11:32:55;12;-;Trovan Unique;0007A39150;-;00000000;00000000;-;""
82;08-10-2020;11:32:56;12;-;Trovan Unique;0007A39150;-;00000000;00000000;-;""
83;08-10-2020;11:32:56;12;-;Trovan Unique;0007A39150;-;00000000;00000000;-;""
84;08-10-2020;11:32:56;12;-;Trovan Unique;0007A39150;-;00000000;00000000;-;""
85;08-10-2020;11:32:56;12;-;Trovan Unique;0007A39150;-;00000000;00000000;-;""
86;08-10-2020;11:32:57;12;-;Trovan Unique;0007A39150;-;00000000;00000000;-;""
87;08-10-2020;11:32:57;12;-;Trovan Unique;0007A39150;-;00000000;00000000;-;""
88;08-10-2020;11:32:57;12;-;Trovan Unique;0007A39150;-;00000000;00000000;-;""
89;08-10-2020;11:32:57;12;-;Trovan Unique;0007A39150;-;00000000;00000000;-;""
90;08-10-2020;11:32:57;12;-;Trovan Unique;0007A39150;-;00000000;00000000;-;""
91;08-10-2020;11:32:58;12;-;Trovan Unique;0007A39150;-;00000000;00000000;-;""
92;08-10-2020;11:32:58;13;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
93;08-10-2020;11:32:58;12;-;Trovan Unique;0007A39150;-;00000000;00000000;-;""
94;08-10-2020;11:32:58;13;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
95;08-10-2020;11:32:58;13;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
96;08-10-2020;11:32:58;13;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
97;08-10-2020;11:32:59;14;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
98;08-10-2020;11:32:59;14;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
99;08-10-2020;11:33:00;14;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
100;08-10-2020;11:33:00;14;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
101;08-10-2020;11:33:00;14;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
102;08-10-2020;11:33:00;14;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
103;08-10-2020;11:33:01;14;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
104;08-10-2020;11:33:01;14;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
105;08-10-2020;11:33:01;14;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
106;08-10-2020;11:33:01;14;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
107;08-10-2020;11:33:02;14;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
108;08-10-2020;11:33:02;14;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
109;08-10-2020;11:33:02;14;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
110;08-10-2020;11:33:02;14;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
111;08-10-2020;11:33:03;14;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
112;08-10-2020;11:33:03;14;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
113;08-10-2020;11:33:03;14;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
114;08-10-2020;11:33:03;14;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
115;08-10-2020;11:33:04;14;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
116;08-10-2020;11:33:04;14;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
117;08-10-2020;11:33:04;14;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
118;08-10-2020;11:33:04;14;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
119;08-10-2020;11:33:05;13;-;Trovan Unique;0007A39150;-;00000000;00000000;-;""
120;08-10-2020;11:33:05;14;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
121;08-10-2020;11:33:05;13;-;Trovan Unique;0007A39150;-;00000000;00000000;-;""
122;08-10-2020;11:33:05;14;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
123;08-10-2020;11:33:05;13;-;Trovan Unique;0007A39150;-;00000000;00000000;-;""
124;08-10-2020;11:33:05;14;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
125;08-10-2020;11:33:05;14;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
126;08-10-2020;11:33:07;14;-;Trovan Unique;0007A39150;-;00000000;00000000;-;""
127;08-10-2020;11:33:07;14;-;Trovan Unique;0007A39150;-;00000000;00000000;-;""
128;08-10-2020;11:33:08;14;-;Trovan Unique;0007A39150;-;00000000;00000000;-;""
129;08-10-2020;11:33:35;11;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
130;08-10-2020;11:33:36;11;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
131;08-10-2020;11:33:36;11;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
132;08-10-2020;11:33:37;12;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
133;08-10-2020;11:33:37;12;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
134;08-10-2020;11:33:37;12;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
135;08-10-2020;11:33:37;12;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
136;08-10-2020;11:33:38;12;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
137;08-10-2020;11:33:38;11;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
138;08-10-2020;11:33:38;12;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
139;08-10-2020;11:33:38;12;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
140;08-10-2020;11:33:38;12;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
141;08-10-2020;11:33:38;12;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
142;08-10-2020;11:33:40;12;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
143;08-10-2020;11:33:40;12;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
144;08-10-2020;11:33:40;12;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
145;08-10-2020;11:33:40;12;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
146;08-10-2020;11:33:40;12;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
147;08-10-2020;11:33:41;12;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
148;08-10-2020;11:33:41;12;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
149;08-10-2020;11:33:41;12;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
150;08-10-2020;11:33:41;12;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
151;08-10-2020;11:33:42;12;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
152;08-10-2020;11:33:42;12;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
153;08-10-2020;11:33:42;12;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
154;08-10-2020;11:33:42;12;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
155;08-10-2020;11:33:46;13;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
156;08-10-2020;11:33:46;13;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
157;08-10-2020;11:33:46;13;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
158;08-10-2020;11:33:47;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
159;08-10-2020;11:33:47;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
160;08-10-2020;11:33:47;13;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
161;08-10-2020;11:33:47;13;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
162;08-10-2020;11:33:47;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
163;08-10-2020;11:33:47;13;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
164;08-10-2020;11:33:47;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
165;08-10-2020;11:33:48;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
166;08-10-2020;11:33:48;13;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
167;08-10-2020;11:33:48;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
168;08-10-2020;11:33:48;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
169;08-10-2020;11:33:48;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
170;08-10-2020;11:33:49;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
171;08-10-2020;11:33:49;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
172;08-10-2020;11:33:49;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
173;08-10-2020;11:33:49;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
174;08-10-2020;11:33:50;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
175;08-10-2020;11:33:50;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
176;08-10-2020;11:33:50;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
177;08-10-2020;11:33:50;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
178;08-10-2020;11:33:51;14;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
179;08-10-2020;11:33:53;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
180;08-10-2020;11:33:53;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
181;08-10-2020;11:33:53;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
182;08-10-2020;11:33:54;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
183;08-10-2020;11:33:54;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
184;08-10-2020;11:33:54;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
185;08-10-2020;11:33:54;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
186;08-10-2020;11:33:55;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
187;08-10-2020;11:33:55;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
188;08-10-2020;11:33:55;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
189;08-10-2020;11:33:55;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
190;08-10-2020;11:33:56;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
191;08-10-2020;11:33:56;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
192;08-10-2020;11:33:56;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
193;08-10-2020;11:33:56;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
194;08-10-2020;11:33:57;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
195;08-10-2020;11:33:57;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
196;08-10-2020;11:33:57;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
197;08-10-2020;11:33:57;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
198;08-10-2020;11:33:58;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
199;08-10-2020;11:33:58;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
200;08-10-2020;11:33:58;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
201;08-10-2020;11:33:58;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
202;08-10-2020;11:33:59;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
203;08-10-2020;11:33:59;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
204;08-10-2020;11:33:59;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
205;08-10-2020;11:33:59;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
206;08-10-2020;11:34:00;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
207;08-10-2020;11:34:00;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
208;08-10-2020;11:34:00;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
209;08-10-2020;11:34:01;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
210;08-10-2020;11:34:01;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
211;08-10-2020;11:34:01;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
212;08-10-2020;11:34:02;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
213;08-10-2020;11:34:02;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
214;08-10-2020;11:34:03;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
215;08-10-2020;11:34:03;14;-;Trovan Unique;0007A5D56F;-;00000000;00000000;-;""
216;08-10-2020;11:34:13;11;-;Trovan Unique;0007A5DF18;-;00000000;00000000;-;""
217;08-10-2020;11:34:14;11;-;Trovan Unique;0007A5DF18;-;00000000;00000000;-;""
218;08-10-2020;11:34:14;11;-;Trovan Unique;0007A5DF18;-;00000000;00000000;-;""
219;08-10-2020;11:34:15;11;-;Trovan Unique;0007A5DF18;-;00000000;00000000;-;""
220;08-10-2020;11:34:15;11;-;Trovan Unique;0007A5DF18;-;00000000;00000000;-;""
221;08-10-2020;11:34:18;12;-;Trovan Unique;0007A5DF18;-;00000000;00000000;-;""
222;08-10-2020;11:34:18;12;-;Trovan Unique;0007A5DF18;-;00000000;00000000;-;""
223;08-10-2020;11:34:19;12;-;Trovan Unique;0007A5DF18;-;00000000;00000000;-;""
224;08-10-2020;11:34:19;12;-;Trovan Unique;0007A5DF18;-;00000000;00000000;-;""
225;08-10-2020;11:34:19;12;-;Trovan Unique;0007A5DF18;-;00000000;00000000;-;""
226;08-10-2020;11:34:19;12;-;Trovan Unique;0007A5DF18;-;00000000;00000000;-;""
227;08-10-2020;11:34:20;12;-;Trovan Unique;0007A5DF18;-;00000000;00000000;-;""
228;08-10-2020;11:34:20;12;-;Trovan Unique;0007A5DF18;-;00000000;00000000;-;""
229;08-10-2020;11:34:20;12;-;Trovan Unique;0007A5DF18;-;00000000;00000000;-;""
230;08-10-2020;11:34:20;12;-;Trovan Unique;0007A5DF18;-;00000000;00000000;-;""
231;08-10-2020;11:34:20;12;-;Trovan Unique;0007A5DF18;-;00000000;00000000;-;""
232;08-10-2020;11:34:21;12;-;Trovan Unique;0007A5DF18;-;00000000;00000000;-;""
233;08-10-2020;11:34:21;12;-;Trovan Unique;0007A5DF18;-;00000000;00000000;-;""
234;08-10-2020;11:34:21;12;-;Trovan Unique;0007A5DF18;-;00000000;00000000;-;""
235;08-10-2020;11:34:21;12;-;Trovan Unique;0007A5DF18;-;00000000;00000000;-;""
236;08-10-2020;11:34:22;12;-;Trovan Unique;0007A5DF18;-;00000000;00000000;-;""
237;08-10-2020;11:34:22;12;-;Trovan Unique;0007A5DF18;-;00000000;00000000;-;""
238;08-10-2020;11:34:22;12;-;Trovan Unique;0007A5DF18;-;00000000;00000000;-;""
239;08-10-2020;11:34:22;12;-;Trovan Unique;0007A5DF18;-;00000000;00000000;-;""
240;08-10-2020;11:34:23;12;-;Trovan Unique;0007A5DF18;-;00000000;00000000;-;""
241;08-10-2020;11:34:23;12;-;Trovan Unique;0007A5DF18;-;00000000;00000000;-;""
242;08-10-2020;11:34:23;12;-;Trovan Unique;0007A5DF18;-;00000000;00000000;-;""
243;08-10-2020;11:34:23;12;-;Trovan Unique;0007A5DF18;-;00000000;00000000;-;""
244;08-10-2020;11:34:24;12;-;Trovan Unique;0007A5DF18;-;00000000;00000000;-;""
245;08-10-2020;11:34:24;12;-;Trovan Unique;0007A5DF18;-;00000000;00000000;-;""
246;08-10-2020;11:34:24;12;-;Trovan Unique;0007A5DF18;-;00000000;00000000;-;""
247;08-10-2020;11:34:24;12;-;Trovan Unique;0007A5DF18;-;00000000;00000000;-;""
248;08-10-2020;11:34:24;12;-;Trovan Unique;0007A5DF18;-;00000000;00000000;-;""
249;08-10-2020;11:34:25;12;-;Trovan Unique;0007A5DF18;-;00000000;00000000;-;""
250;08-10-2020;11:34:25;12;-;Trovan Unique;0007A5DF18;-;00000000;00000000;-;""
251;08-10-2020;11:34:25;12;-;Trovan Unique;0007A5DF18;-;00000000;00000000;-;""
252;08-10-2020;11:34:25;12;-;Trovan Unique;0007A5DF18;-;00000000;00000000;-;""
253;08-10-2020;11:34:26;12;-;Trovan Unique;0007A5DF18;-;00000000;00000000;-;""
254;08-10-2020;11:34:26;12;-;Trovan Unique;0007A5DF18;-;00000000;00000000;-;""
255;08-10-2020;11:34:26;12;-;Trovan Unique;0007A5DF18;-;00000000;00000000;-;""
256;08-10-2020;11:34:26;12;-;Trovan Unique;0007A5DF18;-;00000000;00000000;-;""
257;08-10-2020;11:34:30;14;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
258;08-10-2020;11:34:31;14;-;Trovan Unique;0007A5C9CD;-;00000000;00000000;-;""
