Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
33104;03-11-2020;09:16:12;42;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33105;03-11-2020;09:16:16;43;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33106;03-11-2020;09:16:17;43;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33107;03-11-2020;09:16:18;43;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33108;03-11-2020;09:16:20;44;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33109;03-11-2020;09:16:20;44;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33110;03-11-2020;09:16:21;44;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
33111;03-11-2020;09:30:26;21;-;Trovan Unique;0007A4B9DA;-;00000000;00000000;-;""
33112;03-11-2020;09:30:26;21;-;Trovan Unique;0007E98C8B;-;00000000;00000000;-;""
33113;03-11-2020;09:30:27;21;-;Trovan Unique;0007A5A18B;-;00000000;00000000;-;""
33114;03-11-2020;09:30:27;21;-;Trovan Unique;0007A65BA3;-;00000000;00000000;-;""
33115;03-11-2020;09:30:27;21;-;Trovan Unique;0007A65BA3;-;00000000;00000000;-;""
33116;03-11-2020;09:30:30;22;-;Trovan Unique;0007E50C44;-;00000000;00000000;-;""
33117;03-11-2020;09:30:30;22;-;Trovan Unique;0007E50C44;-;00000000;00000000;-;""
33118;03-11-2020;09:30:30;22;-;Trovan Unique;0007E9D6B1;-;00000000;00000000;-;""
33119;03-11-2020;09:30:34;22;-;Trovan Unique;0007E4CFBC;-;00000000;00000000;-;""
33120;03-11-2020;09:30:38;21;-;Trovan Unique;0007E4DD9F;-;00000000;00000000;-;""
33121;03-11-2020;09:30:39;21;-;Trovan Unique;0007A5A18B;-;00000000;00000000;-;""
33122;03-11-2020;09:30:40;21;-;Trovan Unique;0007A5A18B;-;00000000;00000000;-;""
33123;03-11-2020;09:30:40;21;-;Trovan Unique;0007A5A18B;-;00000000;00000000;-;""
33124;03-11-2020;09:30:40;21;-;Trovan Unique;0007A5A18B;-;00000000;00000000;-;""
33125;03-11-2020;09:30:41;21;-;Trovan Unique;0007A5A18B;-;00000000;00000000;-;""
33126;03-11-2020;09:30:41;21;-;Trovan Unique;0007A5A18B;-;00000000;00000000;-;""
33127;03-11-2020;09:30:41;21;-;Trovan Unique;0007A5A18B;-;00000000;00000000;-;""
33128;03-11-2020;09:30:42;21;-;Trovan Unique;0007A5A18B;-;00000000;00000000;-;""
33129;03-11-2020;09:30:42;21;-;Trovan Unique;0007A5A18B;-;00000000;00000000;-;""
33130;03-11-2020;09:30:42;21;-;Trovan Unique;0007A5A18B;-;00000000;00000000;-;""
33131;03-11-2020;09:30:43;21;-;Trovan Unique;0007A5A18B;-;00000000;00000000;-;""
33132;03-11-2020;09:30:43;21;-;Trovan Unique;0007A5A18B;-;00000000;00000000;-;""
33133;03-11-2020;09:30:43;21;-;Trovan Unique;0007A5A18B;-;00000000;00000000;-;""
33134;03-11-2020;09:30:44;21;-;Trovan Unique;0007A5A18B;-;00000000;00000000;-;""
33135;03-11-2020;09:30:44;21;-;Trovan Unique;0007A5A18B;-;00000000;00000000;-;""
33136;03-11-2020;09:30:44;21;-;Trovan Unique;0007A5A18B;-;00000000;00000000;-;""
33137;03-11-2020;09:30:45;21;-;Trovan Unique;0007A5A18B;-;00000000;00000000;-;""
33138;03-11-2020;09:30:45;21;-;Trovan Unique;0007A5A18B;-;00000000;00000000;-;""
33139;03-11-2020;09:30:46;21;-;Trovan Unique;0007E9D6B1;-;00000000;00000000;-;""
33140;03-11-2020;09:30:47;21;-;Trovan Unique;0007A5A18B;-;00000000;00000000;-;""
33141;03-11-2020;09:30:47;21;-;Trovan Unique;0007A5A18B;-;00000000;00000000;-;""
33142;03-11-2020;09:30:48;22;-;Trovan Unique;0007DF9323;-;00000000;00000000;-;""
33143;03-11-2020;09:30:48;21;-;Trovan Unique;0007A5A18B;-;00000000;00000000;-;""
33144;03-11-2020;09:30:48;22;-;Trovan Unique;0007A5D700;-;00000000;00000000;-;""
33145;03-11-2020;09:30:48;21;-;Trovan Unique;0007A5A18B;-;00000000;00000000;-;""
33146;03-11-2020;09:30:48;21;-;Trovan Unique;0007A5A18B;-;00000000;00000000;-;""
33147;03-11-2020;09:30:49;22;-;Trovan Unique;0007E9E90F;-;00000000;00000000;-;""
33148;03-11-2020;09:30:49;21;-;Trovan Unique;0007A5A18B;-;00000000;00000000;-;""
33149;03-11-2020;09:30:49;22;-;Trovan Unique;0007E9E90F;-;00000000;00000000;-;""
33150;03-11-2020;09:30:49;21;-;Trovan Unique;0007A5A18B;-;00000000;00000000;-;""
33151;03-11-2020;09:30:49;22;-;Trovan Unique;0007E4DD9F;-;00000000;00000000;-;""
33152;03-11-2020;09:30:50;21;-;Trovan Unique;0007A5A18B;-;00000000;00000000;-;""
33153;03-11-2020;09:30:50;32;-;Trovan Unique;0007EA023D;-;00000000;00000000;-;""
33154;03-11-2020;09:30:50;21;-;Trovan Unique;0007A5A18B;-;00000000;00000000;-;""
33155;03-11-2020;09:30:50;21;-;Trovan Unique;0007A5A18B;-;00000000;00000000;-;""
33156;03-11-2020;09:30:50;32;-;Trovan Unique;0007E52A27;-;00000000;00000000;-;""
33157;03-11-2020;09:30:51;21;-;Trovan Unique;0007A5A18B;-;00000000;00000000;-;""
33158;03-11-2020;09:30:51;32;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
33159;03-11-2020;09:30:51;21;-;Trovan Unique;0007A5A18B;-;00000000;00000000;-;""
33160;03-11-2020;09:30:51;21;-;Trovan Unique;0007A5A18B;-;00000000;00000000;-;""
33161;03-11-2020;09:30:51;32;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
33162;03-11-2020;09:30:52;21;-;Trovan Unique;0007A5A18B;-;00000000;00000000;-;""
33163;03-11-2020;09:30:52;32;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
33164;03-11-2020;09:30:52;21;-;Trovan Unique;0007A5A18B;-;00000000;00000000;-;""
33165;03-11-2020;09:30:52;21;-;Trovan Unique;0007A5A18B;-;00000000;00000000;-;""
33166;03-11-2020;09:30:53;21;-;Trovan Unique;0007A5A18B;-;00000000;00000000;-;""
33167;03-11-2020;09:30:53;32;-;Trovan Unique;0007E9A9B2;-;00000000;00000000;-;""
33168;03-11-2020;09:30:53;21;-;Trovan Unique;0007A5A18B;-;00000000;00000000;-;""
33169;03-11-2020;09:30:53;32;-;Trovan Unique;0007E502E5;-;00000000;00000000;-;""
33170;03-11-2020;09:30:53;21;-;Trovan Unique;0007A5A18B;-;00000000;00000000;-;""
33171;03-11-2020;09:30:54;21;-;Trovan Unique;0007A5A18B;-;00000000;00000000;-;""
33172;03-11-2020;09:30:54;32;-;Trovan Unique;0007E502E5;-;00000000;00000000;-;""
33173;03-11-2020;09:30:54;21;-;Trovan Unique;0007A5A18B;-;00000000;00000000;-;""
33174;03-11-2020;09:30:54;32;-;Trovan Unique;0007A5D731;-;00000000;00000000;-;""
33175;03-11-2020;09:30:54;21;-;Trovan Unique;0007A5A18B;-;00000000;00000000;-;""
33176;03-11-2020;09:30:55;21;-;Trovan Unique;0007A5A18B;-;00000000;00000000;-;""
