"row" "x" "id" "date" "time" "antenna" "Time_of_day"
"81" "500" "0007A05274" "2020-11-17" "12:44:14" "2" "Afternoon"
"82" "501" "0007A05274" "2020-11-17" "12:44:15" "2" "Afternoon"
"83" "502" "0007A05274" "2020-11-17" "12:47:19" "4" "Afternoon"
"84" "503" "0007A05274" "2020-11-17" "12:47:29" "4" "Afternoon"
"85" "504" "0007A05274" "2020-11-17" "12:47:30" "4" "Afternoon"
"86" "505" "0007A05274" "2020-11-17" "12:47:31" "4" "Afternoon"
"87" "506" "0007A05274" "2020-11-17" "12:47:32" "4" "Afternoon"
"88" "507" "0007A05274" "2020-11-17" "12:50:24" "1" "Afternoon"
"89" "508" "0007A05274" "2020-11-17" "12:50:25" "1" "Afternoon"
"90" "509" "0007A5AAD5" "2020-11-17" "12:50:26" "1" "Afternoon"
"91" "510" "0007A5AAD5" "2020-11-17" "12:50:27" "1" "Afternoon"
"92" "511" "0007A05274" "2020-11-17" "12:52:56" "3" "Afternoon"
"93" "512" "0007A05274" "2020-11-17" "12:53:10" "1" "Afternoon"
"94" "513" "0007A05274" "2020-11-17" "12:53:14" "1" "Afternoon"
"95" "514" "0007A05274" "2020-11-17" "12:53:15" "1" "Afternoon"
"96" "515" "0007E04FF8" "2020-11-17" "12:53:23" "1" "Afternoon"
"97" "516" "0007E04FF8" "2020-11-17" "12:53:24" "1" "Afternoon"
"98" "517" "0007E04FF8" "2020-11-17" "12:53:25" "1" "Afternoon"
"99" "518" "0007E04FF8" "2020-11-17" "12:53:26" "1" "Afternoon"
"100" "519" "0007A05274" "2020-11-17" "12:53:27" "1" "Afternoon"
"101" "520" "0007A05274" "2020-11-17" "12:53:28" "1" "Afternoon"
"102" "521" "0007A05274" "2020-11-17" "12:53:29" "1" "Afternoon"
"103" "522" "0007A05274" "2020-11-17" "12:53:30" "1" "Afternoon"
"104" "523" "0007A05274" "2020-11-17" "12:53:31" "1" "Afternoon"
"105" "524" "0007A05274" "2020-11-17" "12:53:32" "1" "Afternoon"
"106" "525" "0007A05274" "2020-11-17" "12:53:33" "1" "Afternoon"
"107" "526" "0007A05274" "2020-11-17" "12:53:34" "1" "Afternoon"
"108" "527" "0007A05274" "2020-11-17" "12:53:35" "1" "Afternoon"
"109" "528" "0007A05274" "2020-11-17" "12:53:36" "1" "Afternoon"
"110" "529" "0007A05274" "2020-11-17" "12:53:37" "1" "Afternoon"
"111" "530" "0007A05274" "2020-11-17" "12:53:38" "1" "Afternoon"
"112" "531" "0007E04FF8" "2020-11-17" "13:12:25" "3" "Afternoon"
"113" "532" "0007A5DCCA" "2020-11-17" "13:12:36" "3" "Afternoon"
"114" "533" "0007E04FF8" "2020-11-17" "13:12:36" "3" "Afternoon"
"115" "534" "0007E04FF8" "2020-11-17" "13:12:37" "3" "Afternoon"
"116" "535" "0007A5DCCA" "2020-11-17" "13:12:38" "3" "Afternoon"
"117" "536" "0007E04FF8" "2020-11-17" "13:12:38" "3" "Afternoon"
"118" "537" "0007E04FF8" "2020-11-17" "13:12:39" "3" "Afternoon"
"119" "538" "0007E04FF8" "2020-11-17" "13:12:40" "3" "Afternoon"
"120" "539" "0007E04FF8" "2020-11-17" "13:12:51" "3" "Afternoon"
"121" "540" "0007E04FF8" "2020-11-17" "13:12:52" "3" "Afternoon"
"122" "541" "0007E51BDC" "2020-11-17" "13:30:41" "2" "Afternoon"
"123" "542" "0007E51BDC" "2020-11-17" "13:30:42" "2" "Afternoon"
"124" "543" "0007E51BDC" "2020-11-17" "13:30:44" "2" "Afternoon"
"125" "544" "0007E51BDC" "2020-11-17" "13:30:45" "2" "Afternoon"
"126" "545" "0007E51BDC" "2020-11-17" "13:30:46" "2" "Afternoon"
"127" "546" "0007E51BDC" "2020-11-17" "13:30:47" "2" "Afternoon"
"128" "547" "0007E51BDC" "2020-11-17" "13:30:48" "2" "Afternoon"
"129" "548" "0007E51BDC" "2020-11-17" "13:30:49" "2" "Afternoon"
"130" "549" "0007E51BDC" "2020-11-17" "13:31:24" "4" "Afternoon"
"131" "550" "0007E51BDC" "2020-11-17" "13:31:25" "4" "Afternoon"
"132" "551" "0007E51BDC" "2020-11-17" "13:31:27" "4" "Afternoon"
"133" "552" "0007A56748" "2020-11-17" "13:41:48" "1" "Afternoon"
"134" "553" "0007E04FF8" "2020-11-17" "13:42:05" "2" "Afternoon"
"135" "562" "0007EA009A" "2020-11-17" "13:42:21" "1" "Afternoon"
"136" "565" "0007A5AAD5" "2020-11-17" "13:42:23" "1" "Afternoon"
"137" "567" "0007A56748" "2020-11-17" "13:42:24" "1" "Afternoon"
"138" "568" "0007A5AAD5" "2020-11-17" "13:42:25" "1" "Afternoon"
"139" "572" "0007A5AAD5" "2020-11-17" "13:42:27" "1" "Afternoon"
"140" "575" "0007A5C741" "2020-11-17" "13:42:30" "1" "Afternoon"
"141" "576" "0007A5C741" "2020-11-17" "13:42:31" "1" "Afternoon"
"142" "577" "0007A5C741" "2020-11-17" "13:42:32" "1" "Afternoon"
"143" "578" "0007A5C741" "2020-11-17" "13:42:33" "1" "Afternoon"
"144" "579" "0007A5C741" "2020-11-17" "13:42:34" "1" "Afternoon"
"145" "580" "0007A5C741" "2020-11-17" "13:42:35" "1" "Afternoon"
"146" "581" "0007A56748" "2020-11-17" "13:42:37" "1" "Afternoon"
"147" "582" "0007A56748" "2020-11-17" "13:42:38" "1" "Afternoon"
"148" "583" "0007A56748" "2020-11-17" "13:42:39" "1" "Afternoon"
"149" "584" "0007A56748" "2020-11-17" "13:42:40" "1" "Afternoon"
"150" "585" "0007A5C741" "2020-11-17" "13:42:41" "1" "Afternoon"
"151" "586" "0007A5C741" "2020-11-17" "13:42:42" "1" "Afternoon"
"152" "587" "0007A5C741" "2020-11-17" "13:42:43" "1" "Afternoon"
"153" "588" "0007E51BDC" "2020-11-17" "13:42:54" "4" "Afternoon"
"154" "589" "0007A5C741" "2020-11-17" "13:43:01" "4" "Afternoon"
"155" "590" "0007A5C741" "2020-11-17" "13:43:02" "4" "Afternoon"
"156" "591" "0007A5AAD5" "2020-11-17" "13:43:03" "4" "Afternoon"
"157" "592" "0007A5C741" "2020-11-17" "13:43:03" "4" "Afternoon"
"158" "593" "0007A5AAD5" "2020-11-17" "13:43:04" "4" "Afternoon"
"159" "594" "0007A5D3C2" "2020-11-17" "13:43:05" "4" "Afternoon"
"160" "595" "0007A5D3C2" "2020-11-17" "13:43:06" "4" "Afternoon"
"161" "596" "0007A5D3C2" "2020-11-17" "13:43:07" "4" "Afternoon"
"162" "597" "0007A56748" "2020-11-17" "13:43:09" "3" "Afternoon"
"163" "598" "0007A5D3C2" "2020-11-17" "13:43:09" "4" "Afternoon"
"164" "599" "0007E51BDC" "2020-11-17" "13:43:12" "3" "Afternoon"
"165" "600" "0007A5DCCA" "2020-11-17" "13:43:13" "3" "Afternoon"
"166" "601" "0007A5DCCA" "2020-11-17" "13:43:14" "3" "Afternoon"
