"time";"antenna";"id"
"1";2020-11-05 09:17:14;41;"00066DBF3E"
"2";2020-11-05 09:17:15;41;"00066DBF3E"
"3";2020-11-05 09:17:15;41;"00066DBF3E"
"4";2020-11-05 09:17:16;41;"00066DBF3E"
"5";2020-11-05 09:17:17;41;"00066DBF3E"
"6";2020-11-05 09:17:18;41;"00066DBF3E"
"7";2020-11-05 09:17:20;42;"00066DBF3E"
"8";2020-11-05 09:17:21;42;"00066DBF3E"
"9";2020-11-05 09:17:21;42;"00066DBF3E"
"10";2020-11-05 09:17:23;43;"00066DBF3E"
"11";2020-11-05 09:17:23;43;"00066DBF3E"
"12";2020-11-05 09:17:24;43;"00066DBF3E"
"13";2020-11-05 09:17:25;43;"00066DBF3E"
"14";2020-11-05 09:17:28;44;"00066DBF3E"
"15";2020-11-05 09:17:29;44;"00066DBF3E"
"16";2020-11-05 09:17:29;44;"00066DBF3E"
"17";2020-11-05 09:17:34;35;"00066DBF3E"
"18";2020-11-05 09:17:35;35;"00066DBF3E"
"19";2020-11-05 09:17:36;35;"00066DBF3E"
"20";2020-11-05 09:17:39;31;"00066DBF3E"
"21";2020-11-05 09:17:39;31;"00066DBF3E"
"22";2020-11-05 09:17:40;31;"00066DBF3E"
"23";2020-11-05 09:17:42;32;"00066DBF3E"
"24";2020-11-05 09:17:42;32;"00066DBF3E"
"25";2020-11-05 09:17:45;33;"00066DBF3E"
"26";2020-11-05 09:17:45;33;"00066DBF3E"
"27";2020-11-05 09:17:46;33;"00066DBF3E"
"28";2020-11-05 09:17:51;11;"00066DBF3E"
"29";2020-11-05 09:17:51;11;"00066DBF3E"
"30";2020-11-05 09:17:51;11;"00066DBF3E"
"31";2020-11-05 09:17:51;11;"00066DBF3E"
"32";2020-11-05 09:17:52;11;"00066DBF3E"
"33";2020-11-05 09:17:53;12;"00066DBF3E"
"34";2020-11-05 09:17:53;12;"00066DBF3E"
"35";2020-11-05 09:17:54;12;"00066DBF3E"
"36";2020-11-05 09:17:54;12;"00066DBF3E"
"37";2020-11-05 09:17:54;12;"00066DBF3E"
"38";2020-11-05 09:17:54;12;"00066DBF3E"
"39";2020-11-05 09:17:57;13;"00066DBF3E"
"40";2020-11-05 09:17:57;13;"00066DBF3E"
"41";2020-11-05 09:17:58;13;"00066DBF3E"
"42";2020-11-05 09:17:58;13;"00066DBF3E"
"43";2020-11-05 09:17:58;13;"00066DBF3E"
"44";2020-11-05 09:17:58;13;"00066DBF3E"
"45";2020-11-05 09:18:01;14;"00066DBF3E"
"46";2020-11-05 09:18:01;14;"00066DBF3E"
"47";2020-11-05 09:18:02;14;"00066DBF3E"
"48";2020-11-05 09:18:02;14;"00066DBF3E"
"49";2020-11-05 09:18:02;14;"00066DBF3E"
"50";2020-11-05 09:18:02;14;"00066DBF3E"
"51";2020-11-05 09:18:03;14;"00066DBF3E"
"52";2020-11-05 09:18:03;14;"00066DBF3E"
"53";2020-11-05 09:18:03;14;"00066DBF3E"
"54";2020-11-05 09:18:13;21;"00066DBF3E"
"55";2020-11-05 09:18:14;21;"00066DBF3E"
"56";2020-11-05 09:18:14;21;"00066DBF3E"
