Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
202109;09-11-2020;09:23:02;42;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
202110;09-11-2020;09:23:02;42;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
202111;09-11-2020;09:23:03;42;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
202112;09-11-2020;09:23:05;43;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
202113;09-11-2020;09:23:06;43;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
202114;09-11-2020;09:23:07;43;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
202115;09-11-2020;09:23:09;44;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
202116;09-11-2020;09:23:10;44;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
202117;09-11-2020;09:23:10;44;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
202118;09-11-2020;09:23:14;41;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
202119;09-11-2020;09:23:14;41;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
202120;09-11-2020;09:23:15;41;-;Trovan Unique;00066DBF3E;-;00000000;00000000;-;""
202121;09-11-2020;09:30:43;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202122;09-11-2020;09:30:44;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202123;09-11-2020;09:30:44;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202124;09-11-2020;09:30:45;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202125;09-11-2020;09:30:46;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202126;09-11-2020;09:30:46;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202127;09-11-2020;09:30:59;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202128;09-11-2020;09:30:59;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202129;09-11-2020;09:31:00;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202130;09-11-2020;09:31:00;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202131;09-11-2020;09:31:01;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202132;09-11-2020;09:31:01;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202133;09-11-2020;09:31:02;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202134;09-11-2020;09:31:02;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202135;09-11-2020;09:31:03;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202136;09-11-2020;09:31:03;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202137;09-11-2020;09:31:04;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202138;09-11-2020;09:31:05;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202139;09-11-2020;09:31:05;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202140;09-11-2020;09:31:06;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202141;09-11-2020;09:31:06;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202142;09-11-2020;09:31:07;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202143;09-11-2020;09:31:07;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202144;09-11-2020;09:31:08;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202145;09-11-2020;09:31:08;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202146;09-11-2020;09:31:09;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202147;09-11-2020;09:31:10;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202148;09-11-2020;09:31:10;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202149;09-11-2020;09:31:11;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202150;09-11-2020;09:31:12;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202151;09-11-2020;09:31:13;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202152;09-11-2020;09:31:14;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202153;09-11-2020;09:31:16;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202154;09-11-2020;09:31:16;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202155;09-11-2020;09:31:17;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202156;09-11-2020;09:31:18;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202157;09-11-2020;09:31:18;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202158;09-11-2020;09:31:19;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
