Identifier;date;time;antenna;Antenna number;Transponder type;id;Weight;Input status;Output status;Event;GPS coordinates
201266;05-11-20;09:17:51;11;-;Trovan Unique;00066DBF3E;-;0;0;-;
201267;05-11-20;09:17:51;11;-;Trovan Unique;00066DBF3E;-;0;0;-;
201268;05-11-20;09:17:51;11;-;Trovan Unique;00066DBF3E;-;0;0;-;
201269;05-11-20;09:17:51;11;-;Trovan Unique;00066DBF3E;-;0;0;-;
201270;05-11-20;09:17:52;11;-;Trovan Unique;00066DBF3E;-;0;0;-;
201271;05-11-20;09:17:53;12;-;Trovan Unique;00066DBF3E;-;0;0;-;
201272;05-11-20;09:17:53;12;-;Trovan Unique;00066DBF3E;-;0;0;-;
201273;05-11-20;09:17:54;12;-;Trovan Unique;00066DBF3E;-;0;0;-;
201274;05-11-20;09:17:54;12;-;Trovan Unique;00066DBF3E;-;0;0;-;
201275;05-11-20;09:17:54;12;-;Trovan Unique;00066DBF3E;-;0;0;-;
201276;05-11-20;09:17:54;12;-;Trovan Unique;00066DBF3E;-;0;0;-;
201277;05-11-20;09:17:57;13;-;Trovan Unique;00066DBF3E;-;0;0;-;
201278;05-11-20;09:17:57;13;-;Trovan Unique;00066DBF3E;-;0;0;-;
201279;05-11-20;09:17:58;13;-;Trovan Unique;00066DBF3E;-;0;0;-;
201280;05-11-20;09:17:58;13;-;Trovan Unique;00066DBF3E;-;0;0;-;
201281;05-11-20;09:17:58;13;-;Trovan Unique;00066DBF3E;-;0;0;-;
201282;05-11-20;09:17:58;13;-;Trovan Unique;00066DBF3E;-;0;0;-;
201283;05-11-20;09:18:01;14;-;Trovan Unique;00066DBF3E;-;0;0;-;
201284;05-11-20;09:18:01;14;-;Trovan Unique;00066DBF3E;-;0;0;-;
201285;05-11-20;09:18:02;14;-;Trovan Unique;00066DBF3E;-;0;0;-;
201286;05-11-20;09:18:02;14;-;Trovan Unique;00066DBF3E;-;0;0;-;
201287;05-11-20;09:18:02;14;-;Trovan Unique;00066DBF3E;-;0;0;-;
201288;05-11-20;09:18:02;14;-;Trovan Unique;00066DBF3E;-;0;0;-;
201289;05-11-20;09:18:03;14;-;Trovan Unique;00066DBF3E;-;0;0;-;
201290;05-11-20;09:18:03;14;-;Trovan Unique;00066DBF3E;-;0;0;-;
201291;05-11-20;09:18:03;14;-;Trovan Unique;00066DBF3E;-;0;0;-;
201292;05-11-20;09:18:13;21;-;Trovan Unique;00066DBF3E;-;0;0;-;
201293;05-11-20;09:18:14;21;-;Trovan Unique;00066DBF3E;-;0;0;-;
201294;05-11-20;09:18:14;21;-;Trovan Unique;00066DBF3E;-;0;0;-;
201295;05-11-20;09:18:14;21;-;Trovan Unique;00066DBF3E;-;0;0;-;
201296;05-11-20;09:18:15;21;-;Trovan Unique;00066DBF3E;-;0;0;-;
201297;05-11-20;09:18:17;22;-;Trovan Unique;00066DBF3E;-;0;0;-;
201298;05-11-20;09:18:18;22;-;Trovan Unique;00066DBF3E;-;0;0;-;
201299;05-11-20;09:18:18;22;-;Trovan Unique;00066DBF3E;-;0;0;-;
201300;05-11-20;09:18:19;22;-;Trovan Unique;00066DBF3E;-;0;0;-;
201301;05-11-20;09:18:20;23;-;Trovan Unique;00066DBF3E;-;0;0;-;
201302;05-11-20;09:18:21;23;-;Trovan Unique;00066DBF3E;-;0;0;-;
201303;05-11-20;09:18:21;23;-;Trovan Unique;00066DBF3E;-;0;0;-;
201304;05-11-20;09:18:22;23;-;Trovan Unique;00066DBF3E;-;0;0;-;
201305;05-11-20;09:18:25;24;-;Trovan Unique;00066DBF3E;-;0;0;-;
201306;05-11-20;09:18:25;24;-;Trovan Unique;00066DBF3E;-;0;0;-;
201307;05-11-20;09:18:25;24;-;Trovan Unique;00066DBF3E;-;0;0;-;
201308;05-11-20;09:18:26;24;-;Trovan Unique;00066DBF3E;-;0;0;-;
201309;05-11-20;09:18:38;11;-;Trovan Unique;00066DBF3E;-;0;0;-;
201310;05-11-20;09:18:39;11;-;Trovan Unique;00066DBF3E;-;0;0;-;
201311;05-11-20;09:18:39;11;-;Trovan Unique;00066DBF3E;-;0;0;-;
201312;05-11-20;09:18:39;11;-;Trovan Unique;00066DBF3E;-;0;0;-;
201313;05-11-20;09:18:39;11;-;Trovan Unique;00066DBF3E;-;0;0;-;
201314;05-11-20;09:18:39;11;-;Trovan Unique;00066DBF3E;-;0;0;-;
201315;05-11-20;09:18:40;11;-;Trovan Unique;00066DBF3E;-;0;0;-;
201316;05-11-20;09:18:40;11;-;Trovan Unique;00066DBF3E;-;0;0;-;
201317;05-11-20;09:18:40;11;-;Trovan Unique;00066DBF3E;-;0;0;-;
201318;05-11-20;09:18:45;32;-;Trovan Unique;00066DBF3E;-;0;0;-;
201319;05-11-20;09:18:45;32;-;Trovan Unique;00066DBF3E;-;0;0;-;
201320;05-11-20;09:18:45;32;-;Trovan Unique;00066DBF3E;-;0;0;-;
201321;05-11-20;09:18:46;32;-;Trovan Unique;00066DBF3E;-;0;0;-;
